No;Name;Chapter;Episode;Year;Note
284;Cocox;0022;0018;1998;His name was revealed in the Blue databook.
285;Colscon;0574;;2010;His name was revealed in the Green databook.
286;Columbus;0906;;2018;Cover story character. Her name was first mentioned in Chapter 800.
287;Comil;0289;0421;2003;His name was revealed on the Cover Page of Chapter 290.
288;Compo;1040;1066;2022;His name was revealed in SBS Volume 102.
289;Concelot;0809;0758;2015;His name was revealed in Vivre Card.
290;Conis;0239;0154;2002;
291;Conney;1099;;2023;She was first mentioned in Chapter 908.
292;Corgi;0328;0233;2004;
293;Coribou;0600;0519;2010;He was first mentioned by Demaro Black in Chapter 598.
294;Cornelia;0552;0461;2009;Her name was revealed in One Piece Magazine Vol.2.
295;Cosette;0839;0800;2016;
296;Cosmo;0437;;2007;Cover story character. His name was revealed in the Blue Deep databook.
297;Cosmos;0516;0410;2008;Her name was revealed in SBS Volume 54.
298;Cotton;0718;0648;2013;Her name was revealed in SBS Volume 73.
299;Couran;0906;0884;2018;His name was revealed in Vivre Card.
300;Cowboy;0180;0111;2001;His name was revealed in the Blue databook.
301;Crocodile;0126;0076;2000;He was first mentioned by Nefertari Vivi in Chapter 113.
302;Crocus;0102;0062;1999;
303;Curiel;0552;0461;2009;His name was revealed by Gecko Moria in Chapter 562.
304;Curly Dadan;0582;0000;2010;She was first mentioned by Portgas D. Ace in Chapter 440.
305;Cyrano;;;1994;Appeared in the one-shot Monsters.
306;D.R.;;;1994;Appeared in the one-shot Monsters.
307;Dachoman;0940;0937;2019;He was named in Episode 937 credits.
308;Daddy Dee;0079;0035;1999;His name was revealed in the Blue databook.
309;Dagama;0704;0632;2013;
310;Daidalos;0630;0550;2011;
311;Daifugo;0934;0928;2019;His name was revealed in Chapter 935.
312;Daigin;0531;0432;2009;His name was revealed in the Blue Deep databook.
313;Daikoku;0931;0925;2019;His name was revealed in Chapter 933.
314;Daikon;0732;0664;2013;His name was revealed in SBS Volume 73.
315;Daisy;0516;0410;2008;
316;Dalmatian;0553;0462;2009;
317;Dalton;0132;0080;2000;His name was revealed in Chapter 133.
318;Damask;0706;0652;2013;
319;Daruma;0611;0530;2011;
320;Daz Bonez;0160;0103;2000;His real name was revealed by Smoker in Chapter 217.
321;Decalvan Brothers;0551;0460;2009;Their names was revealed in Episode 460.
322;Delacuaji;0551;0460;2009;His name was revealed in the Green databook.
323;Dellinger;0702;0632;2013;
324;Demaro Black;0598;0517;2010;His real name was revealed by a Pacifista in Chapter 601.
325;Den;0616;0534;2011;
326;Denjiro;0919;0909;2018;"He was first introduced under his alias ""Kyoshiro"". Real identity revealed in Chapter 973."
327;Devil Dias;0497;0391;2008;His full name was revealed in the Blue Deep databook.
328;Diamante;0700;0629;2013;
329;Didit;0585;0496;2010;Her name was revealed in Vivre Card.
330;Diesel;0827;0786;2016;His name was revealed by Tony Tony Chopper in Chapter 849.
331;Diez Barrels;0765;0704;2014;
332;Dirt Boss;0326;;2004;Cover story character.
333;Disc J;1040;1079;2022;His name was revealed in SBS Volume 102.
334;Disco;0500;0394;2008;
335;Dive;1024;1080;2021;Her name was revealed in SBS Volume 102.
336;Dobby Ibadonbo;0531;0432;2009;His name was revealed in Vivre Card.
337;Doberman;0420;0302;2006;His name was revealed in the Yellow databook.
338;Dobon;0926;0919;2018;
339;Doc Q;0223;0146;2002;His name was revealed in Chapter 234.
340;Dogra;0582;0493;2010;His name was revealed by Curly Dadan in Chapter 584, he is formally identified in Chapter 587.
341;Dogya;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
342;Doha Ittanka II;0529;0430;2009;His name was revealed in Vivre Card.
343;Doll;1061;1090;2022;
344;Doma;0551;0460;2009;
345;Domino;0526;0422;2009;
346;Domo-kun;0009;;1997;Joke character. He first appeared in God's Gift for the Future. His name was revealed in the Blue databook.
347;Donannoyo;0926;0919;2018;His name was revealed in Vivre Card.
348;Donovan;0318;;2004;
349;Donquino;0966;0959;2020;His name was revealed in SBS Volume 96.
350;Donquixote Doflamingo;0233;0151;2002;
351;Donquixote Homing;0763;0699;2014;
352;Donquixote Mjosgard;0625;0545;2011;His full name was revealed in Chapter 907.
353;Donquixote Rosinante;0761;0686;2014;"He was first mentioned by Trafalgar D. Water Law (as ""Cora-san"") in Chapter 729. His real name was revealed in Chapter 763."
354;Doran;0657;0583;2012;His name was revealed in Chapter 665.
355;Doringo;0000;0000;2009;His name was revealed in SBS Volume 96.
356;Dorry;0116;0071;2000;
357;Dosun;0611;0530;2011;
358;Dotaku;0926;0918;2018;His name was revealed in Vivre Card.
359;Dracule Mihawk;0049;0023;1998;He was first mentioned by Gin in Chapter 48 under his epithet. He was formally introduced in Chapter 50.
360;Dragon Number Thirteen;0655;0579;2012;His name was revealed in Vivre Card.
361;Draw;;;2018;He was first introduced in One Piece novel A Volume 1.
362;Drip;0598;0518;2010;His name was revealed in Chapter 603.
363;Drophy;0160;0103;2000;Her real name was revealed in Vivre Card.
364;Drug Peclo;0860;0828;2017;
365;Ducky Bree;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
366;Duval;0491;0386;2008;His name was revealed in Chapter 492.
367;Eddy;0223;0146;2002;His name was revealed in the Blue databook.
368;Edison;1065;1095;2022;Its name was first seen on a chart in Chapter 1062.
369;Edward Newgate;0234;0151;2002;He was first mentioned by Smoker in Chapter 157. Better known by his epithet Whitebeard.
370;Edward Weevil;0802;0751;2015;He was first mentioned by Brannew in Chapter 700. He appeared as a silhouette in Chapter 801.
371;Eiri;0866;0836;2017;Mentioned only character. He was mentioned by a giant in Chapter 866.
372;Egana;0483;0375;2007;His name was revealed in the Blue Deep databook.
373;Eggplant Soldier;0849;0814;2016;He was only named in the anime.
374;Eikon;0711;0641;2013;Her name was revealed in One Piece Magazine Vol.2.
375;Elizabello II;0704;0632;2013;
376;Elmy;0551;0460;2009;Her name was revealed in the Green databook.
377;Emma;1071;;2023;Her name was revealed in SBS Volume 102.
378;Emporio Ivankov;0537;0438;2009;He was first mentioned by Bentham in Chapter 532.
379;Enel;0254;0167;2002;He was first mentioned by Conis in Chapter 241.
380;Enishida;0517;0411;2008;
381;Epoida;0553;0467;2009;His name was revealed in the Green databook.
382;Époni;0841;0804;2016;
383;Erik;0167;0105;2001;His name was revealed in the Blue databook.
384;Erio;0967;0959;2020;His name was revealed in SBS Volume 96.
385;Esta;0717;0647;2013;
386;Ethanbaron V. Nusjuro;0233;0151;2002;His name was revealed in Chapter 1086.
387;Eustass Kid;0498;0392;2008;
388;Farafra;0167;0105;2001;
389;Farul;0722;0634;2013;
390;Faust;0508;0401;2008;His name was revealed in SBS Volume 86.
391;Fen Bock;0668;0593;2012;
392;Figarland Garling;1086;;2023;
393;Finamore;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
394;Fillonce;0608;0527;2010;Her name was revealed in the Blue Deep databook.
395;Fishbonen;0594;0511;2010;His name was revealed in the Blue Deep databook.
396;Fisher Tiger;0521;0415;2008;
397;Flapper;0711;0641;2013;
398;Flare;;;1994;Appeared in the one-shot Monsters.
399;Forest Boss;0333;;2004;Cover story character.
400;Forliewbs;0566;;2009;His name was revealed in the Green databook.
401;Fossa;0553;0461;2009;His name was revealed in SBS Volume 58.
402;Fourtricks;0994;0982;2020;
403;Foxy;0305;0207;2004;
404;Francois;0537;0438;2009;His name was revealed in Vivre Card.
405;Franky;0329;0233;2004;His name was revealed in Chapter 335. His birth name, Cutty Flam, was revealed in Chapter 346.
406;Fuga;0991;1055;2020;His name was revealed in Chapter 1030.
407;Fugar;1079;;2023;
408;Fugetsu Omusubi;1024;1048;2021;His name was revealed in SBS Volume 101.
409;Fujin;0931;0925;2019;His name was revealed in Chapter 933.
410;Fukaboshi;0609;0528;2011;
411;Fukumi;;;2022;She was first mentioned in SBS Volume 103.
412;Fukurokuju;0931;0925;2019;
413;Fukurou;0375;0264;2005;
414;Fullbody;0043;0020;1998;
415;Funkfreed;0365;0254;2005;
416;Furrari;0906;0884;2018;His name was revealed in Vivre Card.
417;Fuza;0241;0155;2002;Its name was revealed in Chapter 248.
418;Gab;0580;0489;2010;His name was revealed in SBS Volume 101.
419;Gaburu;0702;0921;2013;He was first seen via a photograph.
420;Gaikotsu Yukichi;;;2009;His name was revealed in SBS Volume 53. His face is printed on every 10,000 banknote.
421;Gaimon;0022;0018;1998;
422;Gal;0680;0606;2012;He was named in his anime concept art.
423;Galaxy;0437;;2007;Cover story character. His name was revealed in the Blue Deep databook.
424;Galdino;0117;0070;2000;His real name was revealed by an Impel Down Guards in Chapter 532.
425;Gally;0902;0877;2018;He first appeared in Romance Dawn, Version 1 in 1996.
426;Gama Pyonnosuke;0909;0892;2018;He was named in SBS Volume 95.
427;Gambia;0705;0634;2013;
428;Gambo;0905;0883;2018;His name was revealed in Chapter 1082.
429;Gan Fall;0237;0153;2002;
