No;Name;Chapter;Episode;Year;Note
887;Mororon;0905;0882;2018;
888;Mosh;1038;1065;2022;His name was revealed in SBS Volume 102.
889;Motobaro;0494;0388;2008;
890;Motzel;0043;0020;1998;His name was revealed in SBS Volume 8.
891;Mounblutain;0598;0517;2010;His name was revealed in the Blue Deep databook.
892;Mountain God;0960;0960;2019;It was named Yama-san by Kozuki Oden in Chapter 963.
893;Mountain Ricky;0313;0217;2004;
894;Mouseman;0915;0901;2018;
895;Mousse;0287;0187;2003;
896;Moyle;0272;0178;2003;His name was revealed in the Blue Deep databook.
897;Mozambia;0234;0151;2002;His name was revealed in the Blue Deep databook.
898;Mozu;0329;0233;2004;
899;Mr. 6;0155;0091;2000;Mentioned only character. He was first mentioned by Nefertari Vivi in Chapter 155.
900;Mr. 7;0190;0116;2001;He was first mentioned by Daz Bonez and Zala in Chapter 190.
901;Mr. 7;0205;0124;2001;
902;Mr. 9;0103;0062;1999;
903;Mr. 10;0155;0091;2000;Mentioned only character. He was first mentioned by Nefertari Vivi in Chapter 155.
904;Mr. 11;0128;0079;2000;
905;Mr. 12;0155;0091;2000;Mentioned only character. He was first mentioned by Nefertari Vivi in Chapter 155.
906;Mr. 13;0105;0063;1999;
907;Mr. Beans;0106;0064;1999;His name was revealed in the Blue databook.
908;Mr. Love;0206;0125;2001;His name was revealed in the Blue databook.
909;Mr. Mellow;0159;0095;2000;His name was revealed in the Blue databook.
910;Mr. Momora;0966;0966;2020;His name was revealed in SBS Volume 96.
911;Mr. Sacrifice;0107;;1999;Mentioned only character. His name was seen on a gravestone on Whisky Peak.
912;Mr. Shimizu;0107;0064;1999;His name was revealed in the Blue databook.
913;Muchana;0536;0437;2009;His name was revealed in Vivre Card.
914;Mugren;0966;0966;2020;His name was revealed in SBS Volume 96.
915;Mukkashimi Tower;0707;0637;2013;His name was revealed in SBS Volume 75.
916;Mummy;0706;0652;2013;
917;Mummy Mee;0079;0035;1999;Her name was revealed in Blue databook.
918;Muret;0223;0146;2002;Her name was revealed in the Blue databook.
919;Nako;0077;0032;1999;His name was revealed in the Blue databook.
920;Nami;0008;0001;1997;Her name was revealed in Chapter 9.
921;Namur;0552;0461;2009;His name was revealed in SBS Volume 58.
922;Nangi;0988;0997;2020;
923;Napoleon;0651;0571;2012;His name was revealed in Chapter 853.
924;Nashi;0906;0884;2018;His name was revealed in Vivre Card.
925;Natto;0164;0100;2001;His name was revealed in the Blue databook.
926;Nazu Ketagari;;;2019;Joke character. He was first mentioned in SBS Volume 94.
927;Nefertari Cobra;0142;0091;2000;
928;Nefertari D. Lili;1084;;2023;Her full name was revealed in Chapter 1085.
929;Nefertari Titi;0215;0129;2002;Her name was revealed in the Blue databook.
930;Nefertari Vivi;0103;0062;1999;Her real name was revealed by Mr.5 in Chapter 110.
931;Neggy;0906;0884;2018;Her name was revealed in Vivre Card.
932;Negikuma Maria;0133;0080;2000;Her name was revealed in the Blue databook.
933;Nekomamushi;0809;0756;2015;
934;Nekozaemon;0806;0755;2015;
935;Neptune;0611;0530;2011;
936;Nerine;0514;0408;2008;Her name was revealed in SBS Volume 54.
937;Nero;0367;0257;2005;
938;Nerona Imu;1085;;2023;Mentioned only character.
939;Nezumi;0069;0031;1999;
940;Nico Olvia;0392;0275;2005;
941;Nico Robin;0114;0067;1999;Her real name was revealed by Crocodile in Chapter 177.
942;Nigeratta;0398;0278;2006;His name was revealed in the Blue Deep databook.
943;Nika;0608;0527;2010;
944;Nika;1018;1040;2021;He was first mentioned by Who's-Who in Chapter 1018.
945;Nin;0449;0343;2007;
946;Ninjin;0023;0009;1998;
947;Ninth;0558;;2009;His name was revealed in the Green databook
948;Nitro;0651;0571;2012;His name was revealed in Chapter 827. He was first identified in Chapter 850.
949;Nnke-kun;;;2003;Joke character. He first appeared in God's Gift for the Future. His name was revealed in the Blue databook. His first appearance in One Piece was in SBS Volume 31.
950;Noble Croc;0831;0791;2016;His name was revealed by Tony Tony Chopper in Chapter 849.
951;Nokotti;0936;0932;2019;Her name was revealed in Vivre Card.
952;Nojiko;0070;0031;1999;
953;Nola;0255;0168;2003;Her name was revealed in the Yellow databook.
954;Nora Gitsune;0598;0518;2010;His name was revealed in the Blue Deep databook.
955;Noriko;0940;0937;2019;Her name was revealed in Vivre Card.
956;Nosgarl;0558;;2009;His name was revealed in the Green databook.
957;Nubon;0711;0641;2013;His name was revealed in SBS Volume 73.
958;Nugire Yainu;0037;0010;1998;His name was revealed in the Blue databook.
959;Nure-Onna;0998;1013;2020;Her name was reveled in Chapter 1020.
960;Nyasha;0842;0806;2016;Its name was revealed in SBS Volume 87.
961;Oars;0456;0350;2007;
962;Octopako;0203;0531;2001;
963;Ochoku;0957;0958;2019;Mentioned only character. They were first mentioned by Sengoku in Chapter 957.
964;Ohm;0241;0155;2002;His name was revealed in Chapter 254.
965;Oide;0909;0890;2018;Her name was revealed in Vivre Card.
966;Oimo;0377;0265;2005;
967;Okame;0163;0100;2001;Her name was revealed in the Blue databook.
968;Okome;0224;0146;2002;His name was revealed in the Blue databook.
969;Oli;1076;;2023;Her name was revealed in Chapter 1079.
970;Oliva;;;2018;He was first introduced in One Piece novel A Volume 2.
971;Omasa;0952;0946;2019;He first appeared as a silhouette in Chapter 940.
972;Onigumo;0420;0302;2006;His name was revealed in the Yellow databook. He was formally introduced in Chapter 542.
973;Onimaru;0936;0932;2019;"Debuted as a human named Gyukimaru; his real name and appearance was revealed in Chapter 953."
974;Oran;0391;0275;2005;His name was revealed in the Blue Deep databook.
975;Orlumbus;0704;0632;2013;
976;Ossamondo;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
977;Otohime;0621;0540;2011;She was first mentioned by Jinbe in Chapter 615.
978;Outlook III;0586;0496;2010;His name was revealed in the Blue Deep databook.
979;Packy;0096;0048;1999;His name was revealed in the Blue databook.
980;Pagaya;0239;0154;2002;
981;Page One;0929;0923;2018;
982;Palms;0553;0470;2009;His name was revealed in the Green databook.
983;Pandaman;0044;0016;1998;Joke character. His name was revealed in SBS Volume 6.
984;Pandawoman;0517;0409;2008;Joke character. Her name was revealed in SBS Volume 55.
985;Pandora;0867;0837;2017;
986;Pankuta Dakeyan;0525;0422;2008;His name was revealed in Vivre Card.
987;Pansy;0515;0409;2008;
988;Papaneel;0621;0540;2011;His name was revealed in the Blue Deep databook.
989;Papas;1039;1066;2022;His name was revealed in SBS Volume 102.
990;Pappag;0195;0385;2001;He was formally introduced in Chapter 491.
991;Pascia;0501;0394;2008;
992;Patty;0044;0021;1998;
993;Paulie;0323;0230;2004;
994;Pavlik;0553;0477;2009;His name was revealed in the Green databook.
995;Peachbeard;0904;0880;2018;
996;Pearl;0054;0025;1998;
997;Peepley Lulu;0323;0230;2004;
998;Pedro;0805;0754;2015;
999;Pekkori;0524;0421;2008;His name was revealed in Episode 421 credits.
1000;Pekoms;0651;0570;2012;
1001;Pell;0155;0091;2000;His name was revealed in Chapter 167.
1002;Pellini;0711;0641;2013;His name was revealed in SBS Volume 73.
1003;Penguin;0498;0392;2008;His name was revealed in SBS Volume 62.
1004;Peppoko;0002;0001;1997;His name was revealed in the Blue databook.
1005;Perona;0443;0338;2007;
1006;Peterman;0499;0393;2008;
1007;Petermoo;0966;0959;2020;His name was revealed in SBS Volume 96.
1008;Pica;0700;0629;2013;His name was revealed by Wicca in Chapter 722.
1009;Pickles;0309;0210;2004;
1010;Pierre;0237;0153;2002;
1011;Piiman;0023;0009;1998;
1012;Pike;0652;0572;2012;He was named in his anime concept art.
1013;Pinky;0008;0004;1997;
1014;Pisaro;0072;0032;1999;His name was revealed in the Blue databook.
1015;Pluming;1083;;2023;
1016;Poker;0997;0982;2020;
1017;Pomp;1029;1054;2021;His name was revealed in SBS Volume 102.
1018;Pomsky;1089;;2023;His name was revealed in Chapter 1108.
1019;Poppoko;0002;0001;1997;His name was revealed in the Blue databook.
1020;Poppy;0515;0409;2008;
1021;Porche;0305;0207;2004;
1022;Porchemy;0583;0494;2010;
1023;Poro;0014;0008;1997;His name was revealed in the Blue databook.
1024;Portgas D. Ace;0154;0091;2000;
1025;Portgas D. Rouge;0550;0000;2009;
1026;Potato;0498;0392;2008;His name was revealed in Chapter 1101.
1027;Potaufeu;0908;0889;2018;His name was revealed in the captions of Episode 889.
1028;Potsun;0217;0130;2002;His name was revealed in the Blue databook.
1029;Pound;0831;0792;2016;His name was revealed in Chapter 835.
1030;Prince Grus;0966;1090;2019;His name was revealed in Chapter 1061.
1031;Prometheus;0827;0786;2016;His name was revealed in Chapter 844. He was first identified in Chapter 845.
1032;Pudding Pudding;0075;0034;1999;
1033;Pudos;0924;0916;2018;His name was revealed in Vivre Card.
1034;Puppu;0155;0092;2000;His name was revealed in the Blue databook.
1035;Pururu;1079;;2023;
1036;PX-1;0511;0403;2008;
1037;PX-4;0508;0401;2008;Its number was revealed in Chapter 511.
1038;PX-5;0599;0519;2010;Its number was revealed in Chapter 601
1039;PX-7;0599;0519;2010;
1040;Pythagoras;1065;1095;2022;Its name was first seen on a chart in Chapter 1062.
1041;Queen;0925;0918;2018;He first appeared as a silhouette in Chapter 920.
1042;Queen Mama Chanter;0730;0662;2013;Its name was revealed through its model as part of the Grand Ship Collection.
1043;Quincy;1039;1066;2022;Her name was revealed in SBS Volume 102.
1044;Rabbitman;0916;0904;2018;His name was revealed in the credits of Episode 908
1045;Rabiyan;0827;0786;2016;
1046;Raccoon;;;2018;He was first introduced in One Piece novel A Volume 2.
1047;Raideen;0866;0836;2017;
1048;Raijin;0931;0925;2019;His name was revealed in Chapter 933.
1049;Raizo;0817;0768;2016;His name was first mentioned by Kanjuro in Chapter 803.
1050;Raki;0249;0163;2002;Her name was revealed by Wyper in Chapter 251.
1051;Rakuda;0929;0922;2019;
1052;Rakuyo;0553;0461;2009;His name was revealed in SBS Volume 58.
1053;Ramba;0551;0460;2009;His name was revealed by the Marines in Episode 460.
1054;Ramen;0823;0777;2016;His name was revealed in the captions of Episode 889.
1055;Rampo;0711;0641;2013;His name was revealed by Leo in Chapter 733.
1056;Ran;0516;0410;2008;
1057;Randolph;0827;0786;2016;His name was revealed by Tony Tony Chopper in Chapter 832.
1058;Rangram;0966;;2020;His name was revealed in SBS Volume 96.
1059;Ratel;1073;;2023;
1060;Rebecca;0704;0633;2013;
1061;Reck;1038;1065;2022;His name was revealed in SBS Volume 102.
1062;Recycle-Wan;1063;1092;2022;
1063;Red King;1078;;2023;His name was revealed in Chapter 1107.
1064;Reforte;0556;;2009;His name was revealed in the Green databook.
1065;Reuder;0550;0459;2009;His name was revealed in the Blue Deep databook.
1066;Richie;0009;0006;1997;His name was revealed by Mohji in Chapter 12.
1067;Rika;0003;0002;1997;
1068;Riku Doldo III;0706;0636;2013;His real name was revealed in Chapter 726.
1069;Rindo;0516;0410;2008;Her name was revealed in SBS Volume 54.
1070;Rint;0391;0275;2005;Her name revealed in Color Walk 4.
1071;Ripper;0007;0003;1997;His name was revealed in the Blue databook.
1072;Ririka;0004;0002;1997;Her name was revealed in the Blue databook.
1073;Risky Brothers;0451;0344;2007;
1074;Risky Brothers;0475;0370;2007;
1075;Rivers;0223;0146;2002;His name was revealed in the Blue databook.
1076;Road;0898;0836;2017;He was first mentioned by a giant in Chapter 866.
1077;Rob Lucci;0323;0230;2004;
1078;Robson;0135;0081;2000;
1079;Roche;0391;0275;2005;His name revealed in Color Walk 4.
1080;Roche Tomson;0536;0436;2009;Mentioned only character. Their name was seen on Impel Down level 5 prisoner list.
1081;Rock;0665;0591;2012;His name was revealed by Chadros Higelyges in Chapter 666.
1082;Rocks D. Xebec;0957;0958;2019;
1083;Rockstar;0234;0151;2002;
1084;Roddy;0805;0754;2015;
1085;Roji;0391;0275;2005;
1086;Rokkaku;0004;0002;1997;His name was revealed in the Blue databook.
1087;Rokki;1036;1063;2022;
1088;Rolling Logan;0706;0652;2013;
1089;Roronoa Arashi;;;2023;He was first mentioned in SBS Volume 105.
1090;Roronoa Pinzoro;;;2023;He was first mentioned in SBS Volume 105.
1091;Roronoa Zoro;0003;0001;1997;He was first mentioned by Alvida in Chapter 2.
1092;Roshio;0222;0146;2002;
1093;Ross;0223;0146;2002;His name was revealed in the Blue databook.
1094;Rosward;0497;0391;2008;
1095;Rowing;0967;0959;2020;His name was revealed in SBS Volume 96.
1096;Roxanne;0046;;1998;
1097;Rug Bear;0446;0341;2007;Its name was revealed in the Blue Deep databook.
1098;Run;0679;0605;2012;
1099;Rush;0558;;2009;His name was revealed in the Green databook.
1100;Russian;0775;0715;2015;
1101;Ryuboshi;0609;0528;2011;
1102;Ryunosuke;0803;0752;2015;It was named by the Straw Hats in Chapter 804.
1103;S-Bear;1062;1092;2022;His name was revealed in Chapter 1068.
1104;S-Hawk;1059;1087;2022;His name was revealed in Chapter 1068.
1105;S-Shark;1065;1094;2022;
1106;S-Snake;1059;1087;2022;Her name was revealed in Chapter 1068.
1107;Saber;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
1108;Sabo;0583;0494;2010;He was first mentioned by Portgas D. Ace in Chapter 574.
1109;Sadi;0531;0432;2009;
1110;Sai;0704;0632;2013;
1111;Saikoro;0915;0901;2018;Its name was revealed in Vivre Card.
1112;Sakazuki;0397;0278;2006;He was first mentioned by Nico Robin in Chapter 319. His real name was revealed in Chapter 397. Formerly known by his admiral alias Akainu.
1113;Saki;0940;0937;2019;She was first mentioned by Tonoyasu in Chapter 940. She has only been seen in the anime.
1114;Saldeath;0530;0431;2009;
1115;Salome;0516;0409;2010;Her name was mentioned by Boa Hancock in Chapter 575.
1116;Sam;0094;0043;1999;Joke character. His name was revealed in SBS Volume 14.
1117;Samosa;0908;0889;2018;His name was revealed in the captions of Episode 889.
1118;Samurai Batts;0117;0070;2000;His name was revealed in the Blue databook.
1119;Sancrin;0557;0456;2009;His name was revealed in the Blue Deep databook.
1120;Sandayu;0928;0921;2018;His name was revealed in Vivre Card.
1121;Sanji;0043;0020;1998;
1122;Sanjuan Wolf;0575;0484;2010;His was first mentioned by Emporio Ivankov in Chapter 538.
1123;Sanka;0608;0527;2010;
1124;Sapi;0098;0051;1999;His name was revealed in the Blue databook.
1125;Sarahebi;0919;0909;2018;Her name was revealed in SBS Volume 95. She was initially named Rokuro in the credits of Episode 909.
1126;Sarfunkel;0620;Film: Red;2011;Cover story character.
1127;Sarie Nantokanette;0823;0777;2016;
1128;Sarquiss;0222;0146;2002;His name was revealed in Chapter 223.
1129;Saru;0497;0391;2008;
1130;Sarutobi;0931;0925;2019;His name was revealed in SBS Volume 97.
1131;Sasaki;0977;0982;2020;His name and appearance were revealed in Chapter 978. He appeared shadowed in the anime in Episode 954.
1132;Satori;0241;0155;2002;His name was revealed in Chapter 246.
1133;Sauce;0906;0884;2018;His name was revealed in Vivre Card.
1134;Scarlett;0721;0650;2013;
1135;Schollzo;0325;0231;2004;His name was revealed in the Yellow databook.
1136;Scopper Gaban;0019;0000;1997;His name was revealed in the Blue Deep databook.
1137;Scotch;0665;0591;2012;His name was revealed by Chadros Higelyges in Chapter 666.
1138;Scotch;0595;0513;2010;His name was revealed in the Blue Deep databook.
1139;Scratchmen Apoo;0498;0392;2008;
1140;Seaboar;0191;;2001;
1141;Seagull Guns Nozdon;0000;0000;2009;His full name was revealed in SBS Volume 97.
1142;Seamars;0440;;2007;Cover story character. His name was revealed in the Blue Deep databook.
1143;Seira;0608;0527;2010;Her name was revealed in SBS Volume 65.
1144;Seki;0906;0884;2018;His name was revealed in the captions of Episode 889.
1145;Sengoku;0234;0151;2002;
1146;Sennorikyuru;1053;1080;2022;His name was revealed in SBS Volume 104.
1147;Senor Pink;0702;0632;2013;
1148;Sentomaru;0497;0401;2008;His name was revealed in Chapter 511.
1149;Serizawa;0915;;2018;His name was revealed in Vivre Card.
1150;Seto;0287;0187;2003;
1151;Shachi;0498;0392;2008;His name was revealed in SBS Volume 62.
1152;Shaka;1062;1091;2022;
1153;Shakuyaku;0498;0392;2008;Also known by her alias, Shakky.
1154;Shalria;0497;0391;2008;
1155;Sham;0031;0013;1998;
1156;Shanba;0524;0419;2008;His name was revealed in the Blue Deep databook.
1157;Shandia Chief;0275;0168;2003;His name was revealed in Chapter 281.
1158;Shanks;0001;0003;1997;
1159;Sharinguru;0428;0310;2006;His name was revealed in the Yellow databook.
1160;Sheepshead;0795;0739;2015;
1161;Shelly;0304;0207;2004;
1162;Shepherd Ju Peter;0233;0151;2002;His name was revealed in Chapter 1086.
1163;Shiki;0000;0426;2009;He was first mentioned by Sengoku in Chapter 530.
1164;Shimotsuki Furiko;;;2023;She was first mentioned in SBS Volume 105.
1165;Shimotsuki Koushirou;0005;0019;1997;His name was revealed in the Blue databook. His full name was revealed in SBS Volume 105.
1166;Shimotsuki Kozaburo;1033;1060;2021;He was first mentioned by Tenguyama Hitetsu in Chapter 955.
1167;Shimotsuki Kuina;0005;0002;1997;Her full name was revealed in SBS Volume 105.
1168;Shimotsuki Ryuma;0448;0342;2007;His name was revealed by Hogback in Chapter 450. His full name was revealed in Vivre Card.
1169;Shimotsuki Ushimaru;0953;0954;2019;
1170;Shimotsuki Yasuie;0929;0916;2019;His real name was revealed in Chapter 941 by Kanjuro.
1171;Shin Detamaruka;0785;0727;2015;Her name was revealed in SBS Volume 81.
1172;Shin Jaiya;0785;0727;2015;Her name was revealed in SBS Volume 81.
1173;Shine;0214;0128;2002;His name was revealed in the Blue databook.
1174;Shinobu;0921;0911;2018;
1175;Shinosuke;0955;0956;2019;His name was revealed in SBS Volume 100.
1176;Shion;0515;0409;2008;Mentioned only character. Her name was seen on an arena battle board on Amazon Lily.
1177;Shioyaki;0075;0033;1999;His name was revealed in the Blue databook.
1178;Shirahoshi;0612;0531;2011;
1179;Shiryu;0538;0440;2009;He was formally introduced in Chapter 542.
1180;Shishilian;0808;0758;2015;
1181;Shoujou;0226;0147;2002;
1182;Shu;0426;0309;2006;His name was revealed in the Yellow databook.
1183;Shura;0241;0155;2002;His name was revealed in Chapter 248.
1184;Shyarly;0610;0529;2011;
1185;Sicily;0504;0398;2008;His name was revealed in the Blue Deep databook.
1186;Silver Axe;0957;0958;2019;Mentioned only character. They were first mentioned by Sengoku in Chapter 957.
1187;Silvers Rayleigh;0019;0008;1998;His name was revealed in Chapter 500.
1188;Sind;0657;0582;2012;His name was revealed in Chapter 665.
1189;Skull;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
1190;Sleepy;;;2010;He was first mentioned in the Green databook.
1191;Smiley;0668;0594;2012;Its name was revealed in Chapter 673.
1192;Smoker;0097;0048;1998;He is formally introduced in Chapter 98.
1193;Smooge;0668;0592;2012;
1194;Snakeman;0916;0904;2018;His name was revealed in the credits of Episode 908
1195;Sodom;0366;0256;2005;
1196;Solitaire;0935;0930;2019;
1197;Some;1031;1057;2021;Her name was revealed in Chapter 1034.
1198;Sonieh;0318;;2004;
1199;Sora;0608;0527;2010;Her name was revealed in the Blue Deep databook.
1200;Sora;0825;0783;2016;
1201;Soro;0003;0002;1997;His name was revealed in the Blue databook.
1202;Spacey;0433;;2006;Cover story character.
1203;Spandam;0355;0249;2005;
1204;Spandine;0392;0275;2005;
1205;Spartan;0703;0633;2013;
1206;Spector;0223;0146;2002;His name was revealed in the Blue databook.
1207;Speed;0917;0904;2018;She was first mentioned by Kiku in Chapter 914.
1208;Speed Jiru;0553;0461;2009;His name was revealed in SBS Volume 58.
1209;Spencer;0966;0959;2020;His name was revealed in SBS Volume 96.
1210;Sphinx;0529;0430;2009;
1211;Splash;0610;0529;2011;
1212;Splatter;0610;0529;2011;
1213;Spoil;0448;0343;2007;His name was revealed by a Thriller Bark Victim's Association member in Chapter 483.
1214;Squard;0551;0460;2009;
1215;Stainless;0096;0045;1999;His name was revealed in the Blue Deep databook.
1216;Stalker;0524;0421;2008;
1217;Stansen;0500;0394;2008;His name was revealed in the Blue Deep databook
1218;Stealth Black;0931;0925;2019;
1219;Stefan;;;2009;Joke character. He was first mentioned in SBS Volume 58.
1220;Sterry;0586;0500;2010;
1221;Stevie;0361;0251;2005;His name was revealed in the Blue Deep databook.
1222;Stomp;0180;0111;2001;His name was revealed in the Blue databook.
1223;Stool;0134;0081;2000;His name is written on his restaurant.
1224;Strawberry;0420;0302;2006;His name was revealed in the Yellow databook.
1225;Streusen;0858;0827;2017;
1226;Stroganoff;0908;0886;2018;His name was revealed in Vivre Card.
1227;Stronger;0223;0146;2002;
1228;Stussy;0860;0828;2017;
1229;Su;0239;0154;2002;
1230;Sugamichi;0931;0925;2019;Its name was revealed in Vivre Card.
1231;Sugar;0682;0608;2012;She was first mentioned by Giolla in Chapter 718. She was identified in Chapter 731.
1232;Suke;0927;0919;2018;
1233;Sukoshiba Kanishitoru;0536;0437;2009;His name was revealed in Vivre Card.
1234;Suleiman;0704;0632;2013;
1235;Sunbell;0000;0000;2009;His name was revealed in SBS Volume 96.
1236;Surume;0604;0524;2010;He was named by Luffy in Chapter 606.
1237;Sweet Pea;0514;0408;2008;
1238;T Bone;0365;0257;2005;He was first mentioned by Corgi in Chapter 362.
1239;Tabuhachiro;0920;0911;2018;His name was revealed in Vivre Card.
1240;Tacos;0905;0882;2018;
1241;Takao;0927;0921;2018;Her name was revealed in Vivre Card.
1242;Take;0075;0034;1999;
1243;Tama;0909;0890;2018;
1244;Tamachibi;0134;0081;2000;
1245;Tamago;0651;0570;2012;
1246;Tamagon;0325;0231;2004;His name was revealed in SBS Volume 45.
1247;Tamanegi;0023;0009;1998;
1248;Tank Lepanto;0706;0636;2013;
1249;Tansui;0197;0386;2001;His name was revealed in the Blue databook. He was formally introduced in Chapter 492.
1250;Tarara;0713;;2013;His name was revealed in One Piece Magazine Vol.2.
1251;Tararan;0452;0346;2007;His name was revealed by a Spider Mice in Chapter 455.
1252;Taro;0000;0000;2009;His name was revealed in SBS Volume 96.
1253;Taroimo;0523;0418;2008;
1254;Tashigi;0096;0048;1999;Her name was revealed by Smoker in Chapter 97. She is formally introduced in Chapter 98.
1255;Tate;0234;0151;2002;Her name was revealed in Vivre Card.
1256;Tea IV;0823;0777;2016;His name was revealed in the captions of Episode 889.
1257;Tegata Ringana;0785;0727;2015;His name was revealed in SBS Volume 81.
1258;Tenjo-Sagari;0980;0986;2020;Her name was reveled in Chapter 1020.
1259;Tensei;1054;1081;2022;Also known by his alias, Kurouma.
1260;Terracotta;0213;0128;2002;
1261;Terry;0223;0146;2002;His name was revealed in the Blue databook.
1262;Terry Gilteo;0440;0324;2006;His name was revealed in the Blue Deep databook.
1263;Tera;;;2023;She was first mentioned in SBS Volume 105.
1264;Teru;;;1999;Mentioned only character. He was first mentioned in SBS Volume 11.
1265;Tetsu;0948;0947;2019;His name was revealed in the captions of Episode 947.
1266;Thalassa Lucas;0142;0091;2000;His name was revealed in the Blue databook.
1267;Thatch;0440;0325;2006;
1268;Tibany;0523;0419;2008;His name was revealed in the Blue Deep databook.
1269;Tilestone;0323;0230;2004;His name was revealed in Chapter 336.
1270;Togare;0628;0548;2011;His name was called out by Hody Jones in Episode 548.
1271;Tokijiro;0929;0922;2019;
1272;Tokikake;0907;0887;2018;
1273;Toko;0927;0920;2018;
1274;Tom;0352;0248;2005;
1275;Tomato Gang;0179;;2001;Joke character. His name was revealed in SBS Volume 27.
1276;Tonjit;0304;0207;2004;
1277;Tony Tony Chopper;0134;0081;2000;
1278;Topman Warcury;0233;0151;2002;His name was revealed in Chapter 1086.
1279;Torasaburo;0815;0766;2016;
1280;Tori;0925;0917;2018;Her name was revealed in Vivre Card.
1281;Tosa;1089;;2023;His name was revealed in Chapter 1108.
1282;Toto;0163;0100;2001;
1283;Totts;0498;0392;2008;His name was revealed in Chapter 1101.
1284;Toyama Tsujigiro;0909;0892;2018;His name was revealed in Vivre Card.
1285;Trafalgar D. Water Law;0498;0392;2008;His true name was revealed in Chapter 763.
1286;Trafalgar Lami;0762;0701;2014;Her full name was revealed on the website for the World Top 100 popularity poll.
1287;Trebol;0700;0629;2013;
1288;Tristan;0795;0739;2015;
1289;Tritobu;0906;0884;2018;His name was revealed in Vivre Card.
1290;Tsugaru Umi;0909;0892;2018;Her name was revealed in Vivre Card.
1291;Tsukimi;0448;;2007;Cover story character.
1292;Tsunagoro;0947;0946;2019;He first appeared as a silhouette in Chapter 940. His name was revealed in Chapter 952.
1293;Tsunokkov;0537;0438;2009;His name was revealed in Vivre Card.
1294;Tsuru;0234;0151;2002;
1295;Tsurue Monnosuke;0933;0928;2019;His name was revealed in Vivre Card.
1296;Tsurujo;0912;0897;2018;Her name was revealed in Chapter 913. Her full name was revealed in Chapter 960.
1297;Turco;0598;0517;2010;His name was revealed in the Blue Deep databook.
1298;Tyrannosaurus;0323;0230;2004;
1299;Ubau;0292;0189;2003;His name was revealed in Vivre Card.
1300;Ucy;0706;0639;2013;He was named by Luffy in Chapter 714.
1301;Uhho;0743;0677;2014;Its name was revealed in SBS Volume 81.
1302;Uholisia;0877;0710;2014;She was first mentioned by Chinjao in Chapter 771. Her appearance was revealed in SBS Volume 77, and was retrospectively added to the anime adaptation of the chapter she was mentioned in.
1303;UK;1029;1054;2021;His name was revealed in SBS Volume 102.
1304;Ukkari;0004;0002;1997;His name was revealed in the Blue databook.
1305;Ukon;0926;0918;2018;His name was revealed in Vivre Card.
1306;Ulti;0977;0982;2020;Her name and appearance were revealed in Chapter 978.
1307;Ultraking;0169;0106;2001;His name was revealed in the Blue databook.
1308;Umit;0860;0828;2017;
1309;Unforgivable Mask;;;2007;Joke character. His name was revealed in SBS Volume 48.
1310;Uni;0810;0757;2016;His name was revealed in SBS Volume 83.
1311;Unigaro;0447;0341;2007;His name was revealed in the Blue Deep databook.
1312;Urashima;0913;0899;2018;
1313;Urban;1089;;2023;His name was revealed in Chapter 1108.
1314;Urouge;0498;0392;2008;
1315;Usagihebi;0022;0018;1998;His name was revealed in the Blue databook.
1316;Usaguchi Hideo;;;2009;His name was revealed in SBS Volume 53. His face is printed on every 1,000 banknote.
1317;Usakkov;0537;0438;2009;His name was revealed in Vivre Card.
1318;Ushiano;0905;0883;2018;His name was revealed in Chapter 1082.
1319;Usopp;0023;0008;1998;
1320;Uta;1055;1029;2022;
1321;Uwattsura;0936;0932;2019;His name was revealed in Vivre Card.
1322;Uzu;0658;0583;2012;His name was revealed in Chapter 686.
1323;Uzuki Tempura;1024;1048;2021;His name was revealed in SBS Volume 101.
1324;Van Augur;0222;0146;2002;His name was revealed in Chapter 234.
1325;Vander Decken;0606;0525;2010;Mentioned only character. He was first mentioned by Brook in Chapter 606.
1326;Vander Decken IX;0606;0525;2010;His full name was revealed by Pappag in Chapter 610. He is formally introduced in Chapter 613.
1327;Vasco Shot;0575;0484;2010;He was first mentioned by Emporio Ivankov in Chapter 538.
1328;Vegapunk;0684;0610;2012;He was first mentioned by Koby in Chapter 433.
1329;Vergo;0671;0597;2012;His name was revealed in Chapter 672.
1330;Very Good;0426;0309;2006;His name was revealed in the Yellow databook.
1331;Victoria Cindry;0446;0340;2007;
1332;Victoria Shiruton Doruyanaika;;;2017;She was first mentioned in SBS Volume 87. Her full name was revealed in SBS Volume 104.
1333;Vinsmoke Ichiji;0828;0787;2016;His name was revealed in Chapter 838. He first appeared as a fictional character in the Sora, Warrior of the Sea comic strip in Episode 783.
1334;Vinsmoke Judge;0832;0793;2016;He first appeared as a fictional character in the Sora, Warrior of the Sea comic strip in Episode 783.
1335;Vinsmoke Niji;0828;0787;2016;His name was revealed in Chapter 838. He first appeared as a fictional character in the Sora, Warrior of the Sea comic strip in Episode 783.
1336;Vinsmoke Reiju;0826;0783;2016;
1337;Vinsmoke Sora;0841;0804;2016;Her name was revealed in Chapter 852. She first appeared obscurely in a photo in Episode 803.
1338;Vinsmoke Yonji;0825;0783;2016;
1339;Viola;0703;0632;2013;Her real identity was revealed in Chapter 728.
